step,total_cells,empty_sites,occupied_density,committed_cells,committed_density,undetermined_cells,undetermined_density,decommitted_cells,decommitted_density,uncommitted_cells,uncommitted_density,n_clusters_present,largest_cluster,cluster_0_size,cluster_1_size,cluster_2_size,cluster_3_size,cluster_4_size,cluster_5_size,cluster_6_size,cluster_7_size,T1,T2,I,R,M,K,S,seed
45,1200,1200,0.5,1199,0.4995833333333333,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,403,403,180,219,10,187,173,27,0,1.3453371518525834,0.995985050918144,0.6001673480112493,0.7275909845942177,0.4725697431042217,0.4883531810616724,0.344151667630812,101
46,1207,1193,0.5029166666666667,1206,0.5025,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,405,405,183,220,10,187,174,27,0,1.3334007331238762,1.0195889436550074,0.6069033679215198,0.7372898234436327,0.4771116507457354,0.4935101546447878,0.3483931139317103,101
47,1209,1191,0.50375,1208,0.5033333333333333,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,407,407,183,220,10,187,174,27,0,1.323830623214044,1.045849023566943,0.6144671362343092,0.7481289429212319,0.48249358174507,0.4996242534808387,0.3531944660161143,101
48,1214,1186,0.5058333333333334,1213,0.5054166666666666,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,408,408,184,222,10,188,174,27,0,1.3072493013678952,1.0690612212052657,0.6187797030468953,0.7550696834929164,0.485374888133144,0.503307187876131,0.35633562071631,101
49,1217,1183,0.5070833333333333,1216,0.5066666666666667,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,410,410,184,223,10,188,174,27,0,1.29039091065209,1.0905902138774628,0.6228419055544852,0.7616962631233809,0.4878630382707645,0.5067728051120692,0.3589521367464212,101
50,1223,1177,0.5095833333333334,1222,0.5091666666666667,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,413,413,185,224,10,189,174,27,0,1.2675367197159702,1.1077052013573043,0.6240508236189014,0.764805870852723,0.4881392124039352,0.5082249144448426,0.3598462301848283,101
51,1224,1176,0.51,1223,0.5095833333333334,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,413,413,185,225,10,189,174,27,0,1.2485342849907757,1.1271005842597923,0.6264689841971218,0.769704962224058,0.4895834908999315,0.5104938289529348,0.3613542334678922,101
52,1223,1177,0.5095833333333334,1222,0.5091666666666667,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,414,414,185,225,10,187,174,27,0,1.2285039347197408,1.1440945850033828,0.6267730671186059,0.7726164067159348,0.4906111373518556,0.5124475437120979,0.3621812046616731,101
53,1223,1177,0.5095833333333334,1222,0.5091666666666667,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,414,414,185,225,10,187,174,27,0,1.2076292220239209,1.1624308337802325,0.6273597400755734,0.775456031077029,0.4906324980591101,0.5133719577746446,0.3625975020160158,101
54,1224,1176,0.51,1223,0.5095833333333334,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,415,415,185,225,10,187,174,27,0,1.1852509109915048,1.1791565512597262,0.6264001941730698,0.7764418244956491,0.4893938086039627,0.5131160256432153,0.3620584218238241,101
55,1223,1177,0.5095833333333334,1222,0.5091666666666667,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,415,415,185,225,10,186,174,27,0,1.1623027308269054,1.1944015386208855,0.6242735542955953,0.7763080819409481,0.4878219586664211,0.5127564458677978,0.3608627871287329,101
56,1220,1180,0.5083333333333333,1219,0.5079166666666667,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,414,414,185,225,10,185,174,26,0,1.1402221717361372,1.211847821780263,0.6215690099469748,0.7761783846913108,0.4855642754787909,0.5123466791100253,0.3596374291953474,101
57,1216,1184,0.5066666666666667,1215,0.50625,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,413,413,185,224,10,184,173,26,0,1.1183408705109912,1.2282158271918555,0.6183272649487128,0.7741759393215933,0.4827677723915033,0.5109678707488993,0.3578182610167493,101
58,1206,1194,0.5025,1205,0.5020833333333333,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,408,408,184,224,9,181,173,26,0,1.0969241325206196,1.2458964744275205,0.6151821031394125,0.7729494096735288,0.4805422896415117,0.5098437575652993,0.3560002492685243,101
59,1191,1209,0.49625,1190,0.4958333333333333,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,402,402,182,218,9,181,172,26,0,1.0767821272928877,1.261154186687034,0.6147484564284912,0.7711253624097063,0.4752551401813632,0.5090189102375442,0.3538792507808638,101
60,1173,1227,0.48875,1173,0.48875,0,0.0,0,0.0,0,0.0,7,400,400,181,213,8,177,168,26,0,1.0573913476309895,1.2775881981028754,0.6090339472276552,0.7640644874075486,0.4697621064786145,0.5061853882895351,0.3512964823762216,101
