step,total_cells,empty_sites,occupied_density,committed_cells,committed_density,undetermined_cells,undetermined_density,decommitted_cells,decommitted_density,uncommitted_cells,uncommitted_density,n_clusters_present,largest_cluster,cluster_0_size,cluster_1_size,cluster_2_size,cluster_3_size,cluster_4_size,cluster_5_size,cluster_6_size,cluster_7_size,T1,T2,I,R,M,K,S,seed
6,88,2312,0.0366666666666666,63,0.02625,25,0.0104166666666666,0,0.0,25,0.0104166666666666,8,20,20,10,6,8,11,2,4,2,0.8085027187865989,0.2142821127856077,0.2540933335556867,0.2616269062522793,0.244912729937316,0.2059122061162742,0.1570289575966009,107
7,105,2295,0.04375,79,0.0329166666666666,26,0.0108333333333333,0,0.0,26,0.0108333333333333,8,24,24,12,8,13,14,2,4,2,0.799527612397603,0.2095156507868584,0.248013232193217,0.2571394085246068,0.235310348706084,0.206746099512131,0.1451404217674574,107
8,110,2290,0.0458333333333333,84,0.035,26,0.0108333333333333,0,0.0,26,0.0108333333333333,8,27,27,12,8,14,15,2,4,2,0.9024673172459184,0.2361748090850737,0.272566994188165,0.2931278585874723,0.2621984168535458,0.2327772248477136,0.1552067554032487,107
9,119,2281,0.0495833333333333,95,0.0395833333333333,24,0.01,0,0.0,24,0.01,8,29,29,12,9,15,19,2,7,2,0.9593701503498446,0.2469017319279185,0.2871724795115187,0.3161323350390684,0.2790028577760204,0.251353510894208,0.1595700142316319,107
10,131,2269,0.0545833333333333,111,0.04625,20,0.0083333333333333,0,0.0,20,0.0083333333333333,8,36,36,12,12,16,21,3,8,3,0.9887549850615708,0.2537952327441228,0.2989234614237406,0.3327228910802587,0.2903299553040145,0.2604483732097444,0.1615244005983857,107
11,147,2253,0.06125,130,0.0541666666666666,17,0.0070833333333333,0,0.0,17,0.0070833333333333,8,46,46,12,13,19,24,4,8,4,0.9931679916353492,0.2584929111600821,0.3037354059561989,0.3418689294205465,0.2982466342309926,0.2606248982633077,0.1609715610004773,107
12,172,2228,0.0716666666666666,153,0.06375,19,0.0079166666666666,0,0.0,19,0.0079166666666666,8,58,58,17,15,20,27,4,8,4,0.9554397059060372,0.2529686752702261,0.3025176387113658,0.3358426422725457,0.294638772666966,0.2546271974515356,0.1541657563740746,107
13,197,2203,0.0820833333333333,173,0.0720833333333333,24,0.01,0,0.0,24,0.01,8,63,63,22,15,23,34,4,8,4,0.9455265855633024,0.2609723397554871,0.2997829174137056,0.3353176281363911,0.293637526544412,0.2507896417010992,0.1525302095942233,107
14,223,2177,0.0929166666666666,204,0.085,19,0.0079166666666666,0,0.0,19,0.0079166666666666,8,77,77,24,25,25,36,5,8,4,0.94823134256702,0.2721183669894523,0.3042130064549299,0.3386522570313405,0.2955468710817342,0.2566083739726814,0.1530141374692402,107
15,237,2163,0.09875,221,0.0920833333333333,16,0.0066666666666666,0,0.0,16,0.0066666666666666,8,81,81,24,28,29,37,7,11,4,1.011735263724093,0.2974774525518273,0.3224750229346487,0.365515482656874,0.3118756052762142,0.2724311263342639,0.1630565416561976,107
16,262,2138,0.1091666666666666,249,0.10375,13,0.0054166666666666,0,0.0,13,0.0054166666666666,8,87,87,25,30,37,44,7,15,4,1.024104399751556,0.30543488789811,0.3276156303916815,0.3760171896112559,0.3197020177236558,0.2790540127725828,0.1655461686811963,107
17,295,2105,0.1229166666666666,288,0.12,7,0.0029166666666666,0,0.0,7,0.0029166666666666,8,99,99,27,32,43,56,8,16,7,1.014485899523892,0.3139442256487265,0.3295375061548929,0.3797114633033708,0.3238061257771408,0.2813967557488779,0.1656861234913162,107
18,322,2078,0.1341666666666666,315,0.13125,7,0.0029166666666666,0,0.0,7,0.0029166666666666,8,112,112,27,36,46,62,8,17,7,1.0377665000180305,0.332646558725891,0.3421544446479604,0.3962118182212323,0.3342992912460394,0.2902965762344965,0.1710084911772633,107
19,364,2036,0.1516666666666666,358,0.1491666666666666,6,0.0025,0,0.0,6,0.0025,8,125,125,33,47,52,68,8,17,8,1.0201402765706098,0.335420254721877,0.3425711596775415,0.3960517746124185,0.3306257188643197,0.2882267229773216,0.1694453941485055,107
20,408,1992,0.17,403,0.1679166666666666,5,0.0020833333333333,0,0.0,5,0.0020833333333333,8,142,142,41,52,55,76,11,18,8,1.0137366290211005,0.3427639104090366,0.3419896968165922,0.3995542012025345,0.3313492363621629,0.2866359951871606,0.1696124951773882,107
21,454,1946,0.1891666666666666,452,0.1883333333333333,2,0.0008333333333333,0,0.0,2,0.0008333333333333,8,160,160,44,60,65,85,12,18,8,1.0149462794247912,0.3554425284189389,0.3452697330903668,0.4044763258415556,0.3340202581641123,0.2877443808896006,0.1713693231376295,107
22,498,1902,0.2075,497,0.2070833333333333,1,0.0004166666666666,0,0.0,1,0.0004166666666666,8,172,172,49,60,78,97,14,19,8,1.0292408688612924,0.3727667010280688,0.3502024675234725,0.4153400206192771,0.3409481259730864,0.2918752092744029,0.1753918030215137,107
23,536,1864,0.2233333333333333,535,0.2229166666666666,1,0.0004166666666666,0,0.0,1,0.0004166666666666,8,178,178,50,67,83,110,16,23,8,1.0596501048270697,0.3932873794790679,0.3608925243277157,0.4334581480271274,0.3529752481964291,0.3040947857535942,0.1819955693748669,107
24,576,1824,0.24,576,0.24,0,0.0,0,0.0,0,0.0,8,187,187,50,73,89,124,18,27,8,1.0857359774550828,0.413294846980386,0.3716880055024169,0.4510385878777792,0.3646593646284282,0.3136660318710422,0.1883897115849927,107
25,613,1787,0.2554166666666667,613,0.2554166666666667,0,0.0,0,0.0,0,0.0,8,195,195,51,83,94,131,20,30,9,1.1172524056276958,0.4393279749994001,0.3871331005105555,0.4717117128052381,0.3767871323857312,0.3221695242253731,0.1965426422207167,107
26,659,1741,0.2745833333333333,659,0.2745833333333333,0,0.0,0,0.0,0,0.0,8,205,205,55,92,102,142,22,30,11,1.1304300693110088,0.4589153927271153,0.394078618247018,0.4852205704667501,0.386499992221222,0.3273023456661362,0.201913624432817,107
27,708,1692,0.295,708,0.295,0,0.0,0,0.0,0,0.0,8,222,222,57,99,106,155,25,31,13,1.1399792664337902,0.4795575133141974,0.4017653018684653,0.4974879556898943,0.3945275854812407,0.3328005770531809,0.2070544876417154,107
28,768,1632,0.32,768,0.32,0,0.0,0,0.0,0,0.0,8,235,235,60,106,121,170,29,33,14,1.1347571181646658,0.4939609993278742,0.4059990995588794,0.502771901501699,0.397932119646421,0.3327807671837683,0.2094925338759041,107
29,817,1583,0.3404166666666666,817,0.3404166666666666,0,0.0,0,0.0,0,0.0,8,250,250,63,114,133,179,30,34,14,1.1500770523191182,0.5185726349270818,0.4165055711568372,0.5176850210024293,0.4070874241549936,0.3404328390406294,0.2157556255859634,107
30,862,1538,0.3591666666666667,862,0.3591666666666667,0,0.0,0,0.0,0,0.0,8,266,266,67,122,139,187,32,35,14,1.170694186609458,0.5464251258258511,0.4272994301157553,0.5349056256262928,0.41900211681747,0.3478882358985204,0.2231945578145052,107
31,901,1499,0.3754166666666667,901,0.3754166666666667,0,0.0,0,0.0,0,0.0,8,279,279,71,123,146,198,34,36,14,1.1963451261286515,0.5734612792627024,0.4397079987528001,0.5546715979386043,0.4329932717292894,0.3574691999721239,0.2314060662816386,107
32,938,1462,0.3908333333333333,938,0.3908333333333333,0,0.0,0,0.0,0,0.0,8,287,287,71,128,159,207,36,36,14,1.2205569373729594,0.6044730824670851,0.4526999748069391,0.5739519067942521,0.445495887259165,0.3677073410489859,0.2402638187750494,107
33,985,1415,0.4104166666666666,985,0.4104166666666666,0,0.0,0,0.0,0,0.0,8,304,304,74,134,166,216,40,36,15,1.2272629419075352,0.6271514479377799,0.4600809291710132,0.586375431147008,0.4531820143147381,0.3737544222630988,0.2459781073956991,107
34,1016,1384,0.4233333333333333,1016,0.4233333333333333,0,0.0,0,0.0,0,0.0,8,311,311,76,147,167,222,41,37,15,1.2517277477291775,0.6594781088551595,0.4732537591650555,0.6074427552537731,0.4667511530242003,0.3854372262146825,0.2553708719926132,107
35,1042,1358,0.4341666666666666,1042,0.4341666666666666,0,0.0,0,0.0,0,0.0,8,320,320,77,151,173,226,43,37,15,1.2763603673945596,0.6951850122237598,0.4875784353484344,0.6296745003801775,0.4821799595974607,0.3962811975803671,0.2655610817125834,107
36,1070,1330,0.4458333333333333,1070,0.4458333333333333,0,0.0,0,0.0,0,0.0,8,322,322,78,158,175,237,46,39,15,1.2921831767756242,0.7269500041714408,0.498519703973121,0.6484024356558002,0.4951858507639333,0.4065056073310468,0.27430148057634,107
37,1105,1295,0.4604166666666666,1105,0.4604166666666666,0,0.0,0,0.0,0,0.0,8,330,330,80,165,181,247,48,39,15,1.294055159200793,0.7507084651738442,0.5062608288542039,0.6614533624892616,0.5029875470425336,0.4119329442295551,0.2802295201854154,107
38,1140,1260,0.475,1140,0.475,0,0.0,0,0.0,0,0.0,8,337,337,84,168,189,255,52,40,15,1.2923374706263713,0.7757890952766568,0.5134628051078788,0.6733992987685088,0.5099612307501139,0.4165068782296696,0.2858551227585665,107
39,1162,1238,0.4841666666666667,1162,0.4841666666666667,0,0.0,0,0.0,0,0.0,8,341,341,86,169,196,259,54,41,16,1.301503659876433,0.8085538827485802,0.525432597977094,0.6917448953570394,0.5217070366207135,0.4256618310643213,0.294047398845235,107
40,1177,1223,0.4904166666666666,1177,0.4904166666666666,0,0.0,0,0.0,0,0.0,8,347,347,86,173,197,262,55,41,16,1.3132838080393217,0.8439912069485681,0.538354598740109,0.7120655760963255,0.534409004451985,0.4362347724404453,0.3030547406652785,107
41,1192,1208,0.4966666666666666,1192,0.4966666666666666,0,0.0,0,0.0,0,0.0,8,352,352,87,175,199,267,55,41,16,1.3189296704352913,0.877040172416626,0.5498612190889528,0.7298243446590943,0.5459256017106702,0.4451112790324099,0.3110163377844746,107
42,1206,1194,0.5025,1206,0.5025,0,0.0,0,0.0,0,0.0,8,356,356,88,178,203,269,55,41,16,1.3199186624118535,0.9079939444183708,0.5601322105983731,0.7458120193388573,0.5557455975120653,0.4529120925830155,0.3181236683547698,107
43,1217,1183,0.5070833333333333,1217,0.5070833333333333,0,0.0,0,0.0,0,0.0,8,360,360,90,179,205,270,56,41,16,1.319135265152973,0.939648830954561,0.5694632715592525,0.7614285800238358,0.5658137219691243,0.4608980780232788,0.3250886449476562,107
44,1224,1176,0.51,1224,0.51,0,0.0,0,0.0,0,0.0,8,362,362,90,180,205,271,57,43,16,1.317549676679419,0.9710043827978156,0.5790459666112193,0.7771574855399256,0.5754437821409112,0.469131056345129,0.331916029274265,107
45,1230,1170,0.5125,1230,0.5125,0,0.0,0,0.0,0,0.0,8,364,364,91,180,207,272,57,43,16,1.3114777917805471,1.0016605106423395,0.5876327837998213,0.7910704972855243,0.5843445251292557,0.4762911292966173,0.3380535087494465,107
46,1236,1164,0.515,1236,0.515,0,0.0,0,0.0,0,0.0,8,366,366,91,181,208,274,57,43,16,1.3010220248927769,1.0296910884151056,0.5943935473261804,0.8027044449641747,0.5913629168063658,0.4822460323688008,0.3430766922508802,107
47,1240,1160,0.5166666666666667,1240,0.5166666666666667,0,0.0,0,0.0,0,0.0,8,368,368,91,181,209,275,57,43,16,1.288579182108044,1.0564390054459385,0.6004655753620661,0.8136245530064798,0.5980151511844409,0.4874606859973268,0.3475223606974206,107
48,1243,1157,0.5179166666666667,1243,0.5179166666666667,0,0.0,0,0.0,0,0.0,8,368,368,91,182,209,277,57,43,16,1.2739267747308238,1.082112574479215,0.6055576446654595,0.823166817913402,0.6034487366603238,0.4921649827967668,0.3512874513243034,107
49,1245,1155,0.51875,1245,0.51875,0,0.0,0,0.0,0,0.0,8,370,370,91,182,209,277,57,43,16,1.2573485782833376,1.104857298851325,0.6098859353576304,0.8316059098436893,0.6080550330794049,0.4959084749230968,0.3541442721168417,107
50,1249,1151,0.5204166666666666,1249,0.5204166666666666,0,0.0,0,0.0,0,0.0,8,371,371,91,182,210,278,58,43,16,1.2365957192321335,1.1252334694658996,0.6117285935266528,0.8368164572097393,0.6103775486550721,0.4979376704264147,0.3557275340748575,107
51,1249,1151,0.5204166666666666,1249,0.5204166666666666,0,0.0,0,0.0,0,0.0,8,371,371,91,182,210,278,58,43,16,1.217859938371541,1.1458630448571816,0.6143136128294501,0.8432874059168457,0.6134803195186186,0.5005818643993619,0.3573381380000146,107
52,1249,1151,0.5204166666666666,1249,0.5204166666666666,0,0.0,0,0.0,0,0.0,8,371,371,91,182,210,278,58,43,16,1.1976632025123266,1.1652751390904397,0.6157090465130213,0.8481801760642944,0.6154581150679842,0.5023098803927524,0.3581935690672876,107
53,1250,1150,0.5208333333333334,1250,0.5208333333333334,0,0.0,0,0.0,0,0.0,8,372,372,91,182,210,278,58,43,16,1.175278254188231,1.1839790270812485,0.6155837707006019,0.850931059964258,0.6159572615090612,0.5028834187227632,0.3582201066540418,107
54,1247,1153,0.5195833333333333,1247,0.5195833333333333,0,0.0,0,0.0,0,0.0,8,371,371,91,182,208,278,58,43,16,1.1533464676958989,1.2030705181993058,0.6156291557210029,0.8528965485442723,0.6152964553444128,0.5022018808127814,0.3580733925555663,107
55,1244,1156,0.5183333333333333,1244,0.5183333333333333,0,0.0,0,0.0,0,0.0,8,371,371,91,180,207,278,58,43,16,1.1305454694094816,1.2201584247046815,0.6147299199780251,0.8521552889106405,0.6122496090740325,0.5007085988531266,0.3570752714877507,107
56,1239,1161,0.51625,1239,0.51625,0,0.0,0,0.0,0,0.0,8,370,370,91,180,204,278,57,43,16,1.1076168982941468,1.238713400068647,0.6126964756148088,0.8512071968381253,0.6096548147816659,0.4976225217284934,0.3558101797472134,107
57,1232,1168,0.5133333333333333,1232,0.5133333333333333,0,0.0,0,0.0,0,0.0,8,370,370,91,179,198,278,57,43,16,1.0865579836820636,1.2581794730838272,0.6115710447335134,0.8482264736273687,0.6042373538342996,0.493138705314272,0.3541492731000311,107
58,1220,1180,0.5083333333333333,1220,0.5083333333333333,0,0.0,0,0.0,0,0.0,8,369,369,90,176,194,276,57,42,16,1.066034696932555,1.2766997151445902,0.6088158969012025,0.8450969338449292,0.5987821840735745,0.4900228998255023,0.3517827140479842,107
59,1203,1197,0.50125,1203,0.50125,0,0.0,0,0.0,0,0.0,8,368,368,90,171,189,270,57,42,16,1.0451949873177688,1.2924844640423947,0.604643033425358,0.8373699563052841,0.5917002555382282,0.4870813575218136,0.3488341090787273,107
60,1182,1218,0.4925,1182,0.4925,0,0.0,0,0.0,0,0.0,8,369,369,87,169,182,264,54,41,16,1.026311186262595,1.310597202155188,0.5979984927831948,0.8300389773244392,0.5863106477260809,0.4792662270961905,0.3456971611237063,107
61,1143,1257,0.47625,1143,0.47625,0,0.0,0,0.0,0,0.0,8,362,362,84,157,175,256,53,40,16,1.009477715124124,1.3253244711552212,0.5961791732703305,0.8227248405386921,0.5779869102357525,0.4770425130361299,0.3429006358578789,107
62,1090,1310,0.4541666666666666,1090,0.4541666666666666,0,0.0,0,0.0,0,0.0,8,355,355,80,144,165,244,52,37,13,0.993317543279474,1.334524697331139,0.59087750544743,0.8150219603068012,0.5656593396665137,0.4725886479795989,0.3402634955704507,107
63,1039,1361,0.4329166666666666,1039,0.4329166666666666,0,0.0,0,0.0,0,0.0,8,347,347,75,136,150,232,49,37,13,0.978502713290218,1.3448670241047134,0.5882052501687266,0.8034588555881413,0.5568773996266723,0.4623403906689728,0.3370691051406745,107
64,990,1410,0.4125,990,0.4125,0,0.0,0,0.0,0,0.0,8,335,335,73,127,142,218,47,36,12,0.962517165624892,1.355776616937585,0.5813694229014862,0.7940605013863211,0.5501908632235455,0.4600739384366314,0.3331377958848087,107
65,924,1476,0.385,924,0.385,0,0.0,0,0.0,0,0.0,8,321,321,67,120,129,197,47,33,10,0.9483428363151112,1.3617122704801914,0.5719430899297986,0.7852345718920357,0.5428081560080174,0.4545386467504941,0.3295980429775194,107
66,864,1536,0.36,864,0.36,0,0.0,0,0.0,0,0.0,8,311,311,60,111,114,185,43,30,10,0.9351028190021572,1.3723243269441443,0.566882536490103,0.7724754198230757,0.5299332888408503,0.4408648851262815,0.3255914692283936,107
67,797,1603,0.3320833333333333,797,0.3320833333333333,0,0.0,0,0.0,0,0.0,8,295,295,57,102,99,165,41,28,10,0.9235194107726948,1.3785329453606396,0.5589413773453717,0.756047274881124,0.51984140932906,0.4351973513281179,0.3218562781506775,107
68,723,1677,0.30125,723,0.30125,0,0.0,0,0.0,0,0.0,8,279,279,54,87,88,146,36,24,9,0.9125546143475336,1.376701628177778,0.547043363144285,0.7369326088539938,0.50521204886253,0.4320056436319901,0.318279430830705,107
69,653,1747,0.2720833333333333,653,0.2720833333333333,0,0.0,0,0.0,0,0.0,8,260,260,48,80,76,131,29,23,6,0.9009343249533596,1.3741336120661976,0.5352052390915795,0.7237061387409698,0.4972700241897881,0.4143495682188105,0.3142099472113296,107
70,588,1812,0.245,588,0.245,0,0.0,0,0.0,0,0.0,8,237,237,43,74,65,117,24,23,5,0.8908093868865704,1.3632981765972585,0.5300826423503251,0.7134051072805658,0.4952074624958267,0.4020124988023994,0.3096049895784966,107
71,538,1862,0.2241666666666666,538,0.2241666666666666,0,0.0,0,0.0,0,0.0,8,219,219,41,65,59,106,22,21,5,0.8808328109437348,1.3619160674456892,0.5252783327145153,0.7023186598352322,0.4866898960866677,0.4022943558147626,0.3046065721447589,107
72,487,1913,0.2029166666666666,487,0.2029166666666666,0,0.0,0,0.0,0,0.0,8,203,203,37,59,50,99,19,19,1,0.8692803945833493,1.3712802690240236,0.5166227281289277,0.6946910114711439,0.4680458971602049,0.382321815799038,0.2992506785988852,107
73,428,1972,0.1783333333333333,428,0.1783333333333333,0,0.0,0,0.0,0,0.0,8,179,179,30,48,42,93,18,17,1,0.8592302131001036,1.3614071287144345,0.5308000468515774,0.6948733807235752,0.4526002202063072,0.372890787022496,0.2942245105428832,107
74,378,2022,0.1575,378,0.1575,0,0.0,0,0.0,0,0.0,7,162,162,25,38,33,89,17,14,0,0.8486220581665382,1.3637976749083192,0.541387719108369,0.6885926586504747,0.4211002865289929,0.355261968857923,0.2890268609783673,107
75,328,2072,0.1366666666666666,328,0.1366666666666666,0,0.0,0,0.0,0,0.0,7,148,148,20,31,21,82,15,11,0,0.8397702246214666,1.3747026958129875,0.5469280799031172,0.6690859340197014,0.3836847500306087,0.3239439900019162,0.2844981995111389,107
76,269,2131,0.1120833333333333,269,0.1120833333333333,0,0.0,0,0.0,0,0.0,7,124,124,17,18,19,71,13,7,0,0.8319177499881986,1.3737971843061865,0.5505975876307763,0.6595524958544583,0.3508066173386449,0.3313350054406038,0.2810217426783136,107
77,228,2172,0.095,228,0.095,0,0.0,0,0.0,0,0.0,7,111,111,14,13,14,63,9,4,0,0.8250004103270558,1.3752368376297277,0.5419574373628271,0.6404641938081659,0.320145617927173,0.3089628222090184,0.2773206567257789,107
78,191,2209,0.0795833333333333,191,0.0795833333333333,0,0.0,0,0.0,0,0.0,7,97,97,8,10,11,55,7,3,0,0.8181442964371411,1.3689974241335423,0.5452271336218049,0.6375336762661228,0.3071206543200568,0.2809086517392742,0.2729425090111032,107
79,151,2249,0.0629166666666666,151,0.0629166666666666,0,0.0,0,0.0,0,0.0,7,86,86,5,7,9,37,5,2,0,0.8128845015319933,1.3548076058129292,0.4920639040793609,0.5828372416110521,0.2963150608719199,0.2672267157020435,0.2693200980810924,107
80,125,2275,0.0520833333333333,125,0.0520833333333333,0,0.0,0,0.0,0,0.0,7,75,75,5,6,6,28,4,1,0,0.8111713109007308,1.3446052175390135,0.464359136925159,0.5509494125954142,0.281068341431318,0.26129314205836,0.2672190063074374,107
81,106,2294,0.0441666666666666,106,0.0441666666666666,0,0.0,0,0.0,0,0.0,7,68,68,3,4,6,22,2,1,0,0.8053188696489164,1.3375744756210526,0.4322909042993584,0.5158737891232011,0.2770702846670434,0.2422463781366396,0.2616111431245536,107
82,88,2312,0.0366666666666666,88,0.0366666666666666,0,0.0,0,0.0,0,0.0,7,59,59,2,3,5,16,2,1,0,0.7983655053135768,1.3280636974890243,0.4076018315819281,0.4859280472343414,0.2711925196084006,0.237223992607007,0.2567859727036883,107
83,74,2326,0.0308333333333333,74,0.0308333333333333,0,0.0,0,0.0,0,0.0,7,52,52,1,2,4,12,2,1,0,0.7927836022547627,1.331330133647577,0.3898936977640043,0.4563967394030447,0.2594914548302428,0.2263938128001177,0.2533925787402181,107
84,61,2339,0.0254166666666666,61,0.0254166666666666,0,0.0,0,0.0,0,0.0,5,46,46,1,0,3,9,2,0,0,0.7906115113805698,1.2911064103717045,0.3680030737134653,0.4164636583745171,0.2147255538097655,0.2302317197437557,0.2507211243815601,107
85,51,2349,0.02125,51,0.02125,0,0.0,0,0.0,0,0.0,5,39,39,1,0,3,6,2,0,0,0.7876832359512761,1.2462966056636642,0.3461427020351529,0.4043009027501445,0.2255906491952371,0.2502269884704789,0.2473621848490018,107
86,41,2359,0.0170833333333333,41,0.0170833333333333,0,0.0,0,0.0,0,0.0,5,32,32,1,0,3,3,2,0,0,0.7851691142049219,1.1932897558792257,0.313824634526014,0.3860383201583481,0.2413943459788648,0.2799249987758885,0.2459750740235269,107
87,37,2363,0.0154166666666666,37,0.0154166666666666,0,0.0,0,0.0,0,0.0,5,31,31,1,0,2,2,1,0,0,0.7835887479262245,1.1787752623688414,0.2737657797473506,0.3270860297513165,0.2227649408334794,0.2423653111659409,0.2421346427029332,107
88,34,2366,0.0141666666666666,34,0.0141666666666666,0,0.0,0,0.0,0,0.0,4,29,29,0,0,2,2,1,0,0,0.7796182235071668,1.175663890244898,0.2806981379706831,0.3387410633614157,0.2273519423613957,0.2225955396124568,0.2367861098446608,107
89,30,2370,0.0125,30,0.0125,0,0.0,0,0.0,0,0.0,4,26,26,0,0,1,2,1,0,0,0.7768862812550632,1.1594924834410656,0.2951252379204707,0.3280100218368216,0.2046248234014281,0.2032644159723781,0.2349757714374854,107
90,28,2372,0.0116666666666666,28,0.0116666666666666,0,0.0,0,0.0,0,0.0,4,24,24,0,0,1,2,1,0,0,0.774085399470853,1.1795975617656822,0.3001570399399821,0.3354090938160844,0.2051984410735929,0.2065513630405417,0.2300573761026381,107
91,22,2378,0.0091666666666666,22,0.0091666666666666,0,0.0,0,0.0,0,0.0,2,21,21,0,0,0,1,0,0,0,0.7719118675540879,1.2337447629962484,0.2335658361228229,0.2335298589565467,0.165009760986171,0.132027100439904,0.2368593980296922,107
92,18,2382,0.0075,18,0.0075,0,0.0,0,0.0,0,0.0,2,17,17,0,0,0,1,0,0,0,0.7686051121797683,1.151317943760385,0.25110292178117,0.2510780565738603,0.171624664976785,0.1373049742049385,0.2343169557239816,107
93,17,2383,0.0070833333333333,17,0.0070833333333333,0,0.0,0,0.0,0,0.0,1,17,17,0,0,0,0,0,0,0,0.7679156426848799,1.17450748280446,0.1954054061605724,0.1953807196861517,0.1709810506025406,0.136793823509532,0.2333432560636668,107
94,12,2388,0.005,12,0.005,0,0.0,0,0.0,0,0.0,1,12,12,0,0,0,0,0,0,0,0.7643453139945234,1.0523082676311477,0.1990788991427007,0.1990618455233348,0.174200398527196,0.1393617353495689,0.2336096671229211,107
95,11,2389,0.0045833333333333,11,0.0045833333333333,0,0.0,0,0.0,0,0.0,1,11,11,0,0,0,0,0,0,0,0.7603218247932908,1.046298221585282,0.2013138305830162,0.2012972572851689,0.1761538547977973,0.1409185659199202,0.2307043034366946,107
96,10,2390,0.0041666666666666,10,0.0041666666666666,0,0.0,0,0.0,0,0.0,1,10,10,0,0,0,0,0,0,0,0.7580591669570789,1.0341813694826896,0.2040149165371418,0.2040012621887771,0.1785218820229353,0.142807802725835,0.2253765391959163,107
97,10,2390,0.0041666666666666,10,0.0041666666666666,0,0.0,0,0.0,0,0.0,1,10,10,0,0,0,0,0,0,0,0.7560845845914766,1.0567632325344205,0.2043669227340425,0.2043546338205143,0.1788290044399299,0.1430544709486819,0.2200663337717551,107
98,7,2393,0.0029166666666666,7,0.0029166666666666,0,0.0,0,0.0,0,0.0,1,7,7,0,0,0,0,0,0,0,0.7526777562575953,1.0526875916962524,0.1969972364980403,0.1969937178856651,0.1723769847378967,0.1379071883538787,0.2197587487756052,107
99,6,2394,0.0025,6,0.0025,0,0.0,0,0.0,0,0.0,1,6,6,0,0,0,0,0,0,0,0.7500860860286381,1.039962950756722,0.1967057824891062,0.1967085973074007,0.172118698438021,0.1377106545420666,0.2204869833763574,107
100,5,2395,0.0020833333333333,5,0.0020833333333333,0,0.0,0,0.0,0,0.0,1,5,5,0,0,0,0,0,0,0,0.7479865989095427,1.0240402045604646,0.1912571566225304,0.1912646717758129,0.1673522550500224,0.1338983047209613,0.2218010978964594,107
101,4,2396,0.0016666666666666,4,0.0016666666666666,0,0.0,0,0.0,0,0.0,1,4,4,0,0,0,0,0,0,0,0.7461933762921946,0.8793482743788408,0.2047482600796906,0.2047406763241778,0.1791360818452738,0.1433251952668856,0.2212343687731509,107
102,4,2396,0.0016666666666666,4,0.0016666666666666,0,0.0,0,0.0,0,0.0,1,4,4,0,0,0,0,0,0,0,0.7456234337153311,0.9144134469409568,0.2072879469177858,0.2072811215378243,0.1813601724010527,0.1451028347324421,0.2174710908880809,107
103,4,2396,0.0016666666666666,4,0.0016666666666666,0,0.0,0,0.0,0,0.0,1,4,4,0,0,0,0,0,0,0,0.7448221927011625,0.9609721022468608,0.2087125335353572,0.2087063906933919,0.1826083638066286,0.1460999181757428,0.2157313487158177,107
104,4,2396,0.0016666666666666,4,0.0016666666666666,0,0.0,0,0.0,0,0.0,1,4,4,0,0,0,0,0,0,0,0.7442684986321934,1.002874892022175,0.2092244648860295,0.2092189363282607,0.1830578140421478,0.1464581556511142,0.2136264431371816,107
105,4,2396,0.0016666666666666,4,0.0016666666666666,0,0.0,0,0.0,0,0.0,1,4,4,0,0,0,0,0,0,0,0.7437312290597378,1.0555874028199574,0.2087209045435878,0.2087159288415958,0.1826185580158241,0.1461055603883156,0.2133070191257763,107
106,2,2398,0.0008333333333333,2,0.0008333333333333,0,0.0,0,0.0,0,0.0,1,2,2,0,0,0,0,0,0,0,0.7420171647784606,0.918620774193446,0.1984638670723367,0.1984620367967462,0.1736477241747513,0.1389264334296129,0.2227256788271565,107
107,2,2398,0.0008333333333333,2,0.0008333333333333,0,0.0,0,0.0,0,0.0,1,2,2,0,0,0,0,0,0,0,0.7408077806983331,0.8927586967741015,0.2018830879072812,0.2018814406592498,0.1766403583566821,0.1413197153661763,0.2212390362239655,107
108,2,2398,0.0008333333333333,2,0.0008333333333333,0,0.0,0,0.0,0,0.0,1,2,2,0,0,0,0,0,0,0,0.7400060550693381,0.9114828270966912,0.2046002626148096,0.2045987800915813,0.1790186205819883,0.1432215822783382,0.2151489710503485,107
109,2,2398,0.0008333333333333,2,0.0008333333333333,0,0.0,0,0.0,0,0.0,1,2,2,0,0,0,0,0,0,0,0.7389877928573239,0.958334544387022,0.2061730629886531,0.2061717287177477,0.1803954818296984,0.1443224026952316,0.2135570525900408,107
110,2,2398,0.0008333333333333,2,0.0008333333333333,0,0.0,0,0.0,0,0.0,1,2,2,0,0,0,0,0,0,0,0.7383070461818395,1.0425010899483198,0.206053980000755,0.2060527791569401,0.1802918790438249,0.1442389187433855,0.2065501036487138,107
111,2,2398,0.0008333333333333,2,0.0008333333333333,0,0.0,0,0.0,0,0.0,1,2,2,0,0,0,0,0,0,0,0.7374472712416263,1.1482509809534878,0.2040185457552756,0.2040174649958422,0.1785114094247139,0.1428140014972642,0.2033940679120597,107
112,1,2399,0.0004166666666666,1,0.0004166666666666,0,0.0,0,0.0,0,0.0,1,1,1,0,0,0,0,0,0,0,0.7379440756031929,1.0971088034492475,0.213121037382952,0.2131158539823208,0.1864700015281054,0.1491661472916698,0.2012169063196296,107
