epoch,train_loss,val_loss,val_reconstruction_ce,val_regulatory_mse
1,1.2256407274140253,0.8841848760843277,0.7496378195782503,0.1345470522840818
2,0.8469633486535814,0.841881513595581,0.7474013184507687,0.09448019377887248
3,0.7742938624487983,0.7937630007664362,0.7437887831280628,0.04997421155373256
4,0.7409308711687724,0.8093350797891616,0.7632278271019459,0.046107250296821195
5,0.720753452512953,0.8324309344093005,0.7843470817431808,0.0480838409314553
6,0.7079726550314162,0.8311069379250209,0.7836088488188883,0.0474980890750885
7,0.6938919054137336,0.8588105777899424,0.805114547535777,0.053696023859083654
8,0.6735743661721547,0.859572046995163,0.8076931873646875,0.05187885835766792
9,0.6102161904176077,0.9345236505071323,0.8834321310122808,0.051091514093180496
10,0.5190740108489991,0.9522538751363754,0.881913707529505,0.07034018017972508
11,0.47777014374732973,0.9531418624023597,0.8849721996424099,0.06816966226324439
12,0.44202170305781896,0.9726107377558947,0.8921749401061485,0.08043580284963052
13,0.42299330830574033,0.9871183136478067,0.9044674742035568,0.08265084138450524
14,0.41678747600979277,0.990426292642951,0.9044746422519286,0.08595164424429337
15,0.40783845881621045,1.0070645359655221,0.9310474443559845,0.07601708909496666
16,0.39778577850924596,1.0101986488172163,0.9309094429869825,0.0792892084728616
17,0.38900699151886836,1.0162264417856932,0.9415264717225607,0.07469998132437468
18,0.3842479182614221,1.0327940656493106,0.9524283249862492,0.08036575208728512
19,0.3777363866567612,1.0423525980363288,0.9622035333809132,0.0801490826299414
20,0.3732250988483429,1.0380571429928145,0.9595260556399201,0.07853108318522573
21,0.36822422544161476,1.048003824101761,0.9616080965225895,0.08639572813990526
22,0.36489145159721376,1.0500902033410966,0.9677638655140375,0.08232633847898493
23,0.3626070519288381,1.043726989813149,0.9569406030854831,0.0867863991142561
