epoch,train_loss,val_loss,val_reconstruction_ce,val_prediction_mse_scaled
1,1.7977997144063314,1.3316139141718546,0.7612309899181128,0.5703829089800517
2,1.168283794985877,1.2397888501485188,0.737900335372736,0.5018885175387064
3,1.1064768619007535,1.2647345165411632,0.7653832876123488,0.4993512362241745
4,1.038852365811666,1.2416006982326508,0.7851182403042912,0.45648244917392733
5,0.9927147375212775,1.2900368889172873,0.7957532974425703,0.4942835956811905
6,0.8842123760117425,1.2878527998924256,0.817157746370261,0.4706950709223747
7,0.7374419861369663,1.3495534340540567,0.8345382251466315,0.5150152072310448
8,0.6325779113504622,1.386383088429769,0.8671533480752259,0.5192297314604123
9,0.5317192961772282,1.536083745956421,0.8909685478468116,0.6451152016719183
10,0.5118059131834242,1.4439070840676627,0.9137225409814467,0.530184542387724
11,0.4777404328187307,1.4852454264958699,0.9284578361858924,0.5567875874539217
12,0.45465949177742004,1.5683529019355773,0.9670545728721966,0.6012983225286007
13,0.4325536333852344,1.4940943121910095,0.9605590027291327,0.5335353141029676
14,0.4181865314642588,1.5904093821843466,0.966217319907931,0.6241920361916224
15,0.4107888182004293,1.588533135255178,0.9605352951291327,0.6279978642861048
16,0.39809056719144187,1.6213329017162323,1.0120173976756632,0.6093155048787594
17,0.3938954518900977,1.6105948090553284,1.0222608813162273,0.5883339355389278
18,0.3830804208914439,1.6905618528525035,1.058974150614813,0.6315877042710781
19,0.3778570830821991,1.7588385502497355,1.0776911261957138,0.6811474087337653
20,0.37396342953046163,1.7223565558592477,1.055433880724013,0.6669226703544457
21,0.3700544781155056,1.7186826368172963,1.0632635893921056,0.6554190260668595
22,0.36727945341004264,1.7690762519836425,1.10169619244989,0.6673800649742285
