seed,step,snapshot_file,T1,T2,I,R,M,K,S
101,0,examples/runs/seed_101/snapshots/grid_001.npy,0.7993772961673801,0.4335260147432098,0.5809923421566696,0.6096760420926847,0.5128582380331791,0.3857867142558294,0.3776358555486714
101,1,examples/runs/seed_101/snapshots/grid_002.npy,0.5574943378239757,0.2530431842758169,0.3322252561335513,0.3448589642496694,0.2934506620535825,0.2204195498483386,0.2157403123132467
101,2,examples/runs/seed_101/snapshots/grid_003.npy,0.6515259740562169,0.2601874062852631,0.2985795726075087,0.307888056477576,0.2642077442985848,0.199341745475052,0.1984893906542356
101,3,examples/runs/seed_101/snapshots/grid_004.npy,0.7735937163692764,0.2646602323739001,0.2915028444452214,0.2978599031370325,0.2512815635774115,0.1998173514402184,0.1951393594034649
101,4,examples/runs/seed_101/snapshots/grid_005.npy,0.9243361060854725,0.27819420913651,0.3168159440915037,0.3208872969141337,0.2657651182991241,0.2257149851597598,0.2039547923266815
101,5,examples/runs/seed_101/snapshots/grid_006.npy,0.8476583750904306,0.2346998305782872,0.277440148668979,0.2761868180303714,0.2279499191158192,0.2090905406590374,0.1718990254517473
101,6,examples/runs/seed_101/snapshots/grid_007.npy,0.7422287131533869,0.1992223856403439,0.2300527217342096,0.230586286167792,0.1909233439076302,0.189589980993892,0.1400049709780334
101,7,examples/runs/seed_101/snapshots/grid_008.npy,0.8202079408171008,0.2211927954828526,0.2373802741748736,0.24562002071722,0.202361815283025,0.2055005148868222,0.1444588893594127
101,8,examples/runs/seed_101/snapshots/grid_009.npy,0.938127172950236,0.249669761043463,0.2659941611377047,0.2790447571711065,0.2240389137521229,0.229857700199304,0.1576937427296575
101,9,examples/runs/seed_101/snapshots/grid_010.npy,0.9904318498230064,0.2576753050676122,0.2756936880941125,0.2959169555262272,0.2325200917130282,0.2477977486114661,0.1622057630927905
101,10,examples/runs/seed_101/snapshots/grid_011.npy,1.0315058265654875,0.2694415322279615,0.2922465477261751,0.3124173931777014,0.2459442438606734,0.2626149736699826,0.1671773514155405
101,11,examples/runs/seed_101/snapshots/grid_012.npy,0.9323583783907547,0.2444639299362756,0.2788241301201327,0.2882108955936835,0.2284464113793026,0.2489439031447232,0.1504618384769149
101,12,examples/runs/seed_101/snapshots/grid_013.npy,0.892591340392652,0.2413204196098911,0.2691371152502398,0.2788195914314652,0.2214777633547864,0.2401299768534165,0.1431588541348905
101,13,examples/runs/seed_101/snapshots/grid_014.npy,0.9132349223108132,0.2561537183697607,0.2758201195632939,0.2864321639546862,0.2261321977389772,0.2430010638885415,0.1456279472156471
101,14,examples/runs/seed_101/snapshots/grid_015.npy,0.9608871057225628,0.2771136491424333,0.2886783293808577,0.3031185606735945,0.2360254458854918,0.2544351658946687,0.1527838270349513
101,15,examples/runs/seed_101/snapshots/grid_016.npy,1.026524363810973,0.3010997563114113,0.3074749431983443,0.3287616352124364,0.2530268942598664,0.2745382374933679,0.1633524136938001
101,16,examples/runs/seed_101/snapshots/grid_017.npy,1.0769929737265678,0.3210054329701788,0.3274511709135153,0.3518797807626373,0.2666151046593694,0.2916202360797432,0.1725558297486816
101,17,examples/runs/seed_101/snapshots/grid_018.npy,1.0994490155371472,0.3321690994897948,0.3400011462712143,0.3678101556155957,0.2772335234725014,0.3003662987873386,0.177866594978249
101,18,examples/runs/seed_101/snapshots/grid_019.npy,1.0464380259850197,0.3219406323956599,0.3295779807866373,0.3583136319200886,0.2712343538301994,0.2887172053430309,0.171222385537661
101,19,examples/runs/seed_101/snapshots/grid_020.npy,1.0044881991429324,0.3193080715038425,0.3214654951545357,0.3500767680598071,0.2621627255755289,0.2793471323148047,0.1660457690837393
101,20,examples/runs/seed_101/snapshots/grid_021.npy,0.9867441327513058,0.3282197414979026,0.3177797686812386,0.3475984038331778,0.2594046448102979,0.2787438854618506,0.1647865513923783
101,21,examples/runs/seed_101/snapshots/grid_022.npy,1.02367586686031,0.3579962412229874,0.3304698782953584,0.3633028180168798,0.2679663643559503,0.290636957884171,0.1727960212484934
101,22,examples/runs/seed_101/snapshots/grid_023.npy,1.0849280114574305,0.3932399191302941,0.349014978676563,0.3890708534069707,0.2825564211503211,0.3083768858668134,0.1849860076764796
101,23,examples/runs/seed_101/snapshots/grid_024.npy,1.113461756542223,0.4123508472688575,0.3593086371476025,0.4048981685746233,0.2926078497756348,0.3168637386139226,0.1917552595355135
101,24,examples/runs/seed_101/snapshots/grid_025.npy,1.1610654378256968,0.441903722859329,0.3785860043799231,0.4307610988241935,0.3084797027083586,0.3312648393974747,0.2026564278077868
101,25,examples/runs/seed_101/snapshots/grid_026.npy,1.1609038193017132,0.4526987091674557,0.3857915301486943,0.4396041473365669,0.3119136746672907,0.3345827221712254,0.2056099110739323
101,26,examples/runs/seed_101/snapshots/grid_027.npy,1.1533113591603583,0.46443383301821,0.3898419534611338,0.4446288818547604,0.3151486452584058,0.3357960924929832,0.2075876690555694
101,27,examples/runs/seed_101/snapshots/grid_028.npy,1.1383133878017018,0.4739801179417494,0.3918963069428495,0.4468525168535218,0.3165854127012543,0.3342345034833199,0.2080472817568669
